"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000012223",2954.66262586788,7.47776519865241,1.35613595336628,5.51402326594962,3.50722205335046e-08,0.000398691311837813
"ENSG00000198574",379.179174432195,-2.81043985050016,0.519624805980961,-5.40859446691452,6.35212796682566e-08,0.000398691311837813
"ENSG00000102837",606.656905454294,8.65291529167429,1.62329117358442,5.33047640034144,9.79554626321504e-08,0.000409878307473795
"ENSG00000204936",75.9228471013632,9.26862449590188,1.75708055282528,5.2750139889708,1.32745961299626e-07,0.00041659001304855
"ENSG00000150045",523.265754778952,-2.76000929865663,0.534865745156014,-5.16019080236961,2.46698286594019e-07,0.000619360718322945
"ENSG00000101425",152.598290003231,4.24214629828111,0.854856712986168,4.96240625339717,6.96251743646485e-07,0.00109250601724929
"ENSG00000124469",210.216658918795,6.3929339632274,1.2872691050901,4.96627623388814,6.82507206667347e-07,0.00109250601724929
"ENSG00000197561",127.999424783021,5.25939742007103,1.05196846841578,4.99957705765788,5.74562067649538e-07,0.00109250601724929
"ENSG00000118113",471.018431644251,7.71042171293705,1.56684984986621,4.92097038755526,8.61161609709205e-07,0.00120112907629774
"ENSG00000005381",221.754242413365,3.56545238068663,0.744737837471846,4.78752683332195,1.68849167603065e-06,0.00211956360092128
"ENSG00000179869",1012.71044179066,6.89274981578968,1.46088155716134,4.71821263127115,2.3792574889912e-06,0.00271516538720969
"ENSG00000143546",12992.4284747361,2.7180610821147,0.584495735612339,4.65026674534615,3.31505985325899e-06,0.00346782886149667
"ENSG00000148346",127.198822260435,4.32494783953569,0.943717959754371,4.58288177609906,4.58611354537217e-06,0.00442842179500437
"ENSG00000135636",3150.11573718382,2.07995129227958,0.469077413877595,4.434132257799,9.2443865791037e-06,0.00805281134144841
"ENSG00000198821",2270.40998095009,-1.55036414649558,0.350326362968672,-4.42548523427631,9.62257389641728e-06,0.00805281134144841
"ENSG00000135378",339.741234092279,1.40640347293712,0.321350600307787,4.37653911830282,1.20578559352618e-05,0.00946014159720885
"ENSG00000008438",110.881497653455,4.57676093864075,1.05257906946126,4.34813979436552,1.37297084486604e-05,0.0101381782444726
"ENSG00000115267",1556.2753878444,1.41699268311112,0.32914760851906,4.30503715183173,1.66957714157556e-05,0.0116434454767767
"ENSG00000096006",137.37829450857,6.97792296906204,1.62561644664973,4.29247808327912,1.76689995783674e-05,0.0116736290372235
"ENSG00000108861",887.277921528431,0.932994078519678,0.222767595600061,4.18819476866241,2.81182158779245e-05,0.0173065350654247
"ENSG00000134243",2069.46289945841,1.00848234434032,0.241174000600849,4.18155498448355,2.89522214907925e-05,0.0173065350654247
"ENSG00000186431",1684.58733476784,2.46194825063957,0.596510581549637,4.12724992110589,3.67127332882106e-05,0.0209479518621322
"ENSG00000164821",160.066174009428,6.86645150626681,1.67295099388562,4.10439488745494,4.05374529529111e-05,0.0221246368225171
"ENSG00000144655",4117.05235893153,2.25727464683601,0.556403747522393,4.05690050954439,4.97282523721034e-05,0.0258930098531773
"ENSG00000278869",269.078446421792,2.49774998781296,0.616971037763123,4.04840719406984,5.15673740404231e-05,0.0258930098531773
"ENSG00000149294",294.74756253685,-2.12354734511349,0.531462153761272,-3.99566992698292,6.45115645124249e-05,0.0308267045784412
"ENSG00000163220",14278.4610756885,1.81419583449582,0.456692645343973,3.97246562429179,7.11325039416929e-05,0.0308267045784412
"ENSG00000164047",389.05880461851,6.58589474919202,1.65800249886024,3.97218626251732,7.12159987871262e-05,0.0308267045784412
"ENSG00000258355",102.122794174857,3.37890634585895,0.849537961827717,3.97734591940953,6.96887503848301e-05,0.0308267045784412
"ENSG00000030582",6925.42033650549,1.06728897248878,0.269676543911822,3.95766334367502,7.56865287105401e-05,0.0316697664967803
"ENSG00000134539",3117.73915090845,-1.67253383733417,0.428191650508672,-3.90604028674374,9.38208767244355e-05,0.0379914021136077
"ENSG00000141736",365.385407763693,-1.36760606054322,0.353035322868342,-3.87385049584186,0.0001071291477021,0.0420247559720145
"ENSG00000158321",677.715575017489,-1.41091594697153,0.365224780458993,-3.86314407581647,0.000111936942725219,0.0425801346069597
"ENSG00000163297",2282.48057201066,1.14757393664036,0.297824680714498,3.85318615598703,0.000116590679302961,0.0430459646261784
"ENSG00000173334",2473.08393583972,2.39502880127924,0.625981260096138,3.82603913879372,0.000130221594653767,0.0467049050768211
"ENSG00000115523",4365.38100641657,-2.08314249136689,0.548350003832858,-3.79892856169625,0.000145322969265401,0.0480062956102257
"ENSG00000116991",760.08738890777,1.81153813166918,0.476112846393763,3.80485035300008,0.000141889947514242,0.0480062956102257
"ENSG00000138496",2199.9275081877,1.31886285285252,0.346128878678347,3.810323073557,0.000138785305754437,0.0480062956102257
"ENSG00000100365",1088.52647322447,1.82249243620491,0.48708140333695,3.74165883509241,0.000182809579222148,0.048825715914375
"ENSG00000133063",114.134715930179,2.86147439712025,0.758383603934419,3.77312270765772,0.000161216945526421,0.048825715914375
"ENSG00000141293",847.804541340592,-0.956343021188497,0.25496566294152,-3.75086986284834,0.000176222150105906,0.048825715914375
"ENSG00000144749",369.987153453123,-1.3643640851625,0.360507561320491,-3.78456440737337,0.000153978028620695,0.048825715914375
"ENSG00000151948",1373.37073558014,2.09037045941744,0.556992303388729,3.75296112118546,0.000174757967205647,0.048825715914375
"ENSG00000171049",1023.85560393792,2.39498152943051,0.634026472519635,3.77741566517374,0.000158464138078449,0.048825715914375
"ENSG00000183762",124.80707199715,3.528421456148,0.937559582270347,3.76341037185472,0.000167611816499333,0.048825715914375
"ENSG00000198898",2836.80652607924,0.892435064221703,0.238448428611293,3.74267538443923,0.00018207137070722,0.048825715914375
"ENSG00000204577",1575.56090092291,1.81325298409459,0.483765500090008,3.74820648383818,0.00017810360461108,0.048825715914375
"ENSG00000113368",892.556758396986,1.19300421306417,0.32096701979207,3.71690591088465,0.000201677507045427,0.0489021473055412
"ENSG00000150337",392.77595288878,1.84023873888108,0.49443297814398,3.72191746956086,0.000197715650753641,0.0489021473055412
"ENSG00000158517",1801.44851235535,1.73638084945691,0.467224749720402,3.71637172580434,0.000202104174278991,0.0489021473055412
"ENSG00000170909",664.711440331052,1.249965428341,0.336393393824927,3.71578470709069,0.000202574018950701,0.0489021473055412
"ENSG00000289340",202.008670617154,3.01428052943617,0.809780792502836,3.72234135131776,0.00019738392954284,0.0489021473055412
"ENSG00000158615",6337.64958182405,1.83806750441998,0.495975075439112,3.70596748796831,0.000210585313787465,0.0498769329051708
