"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000132740",987.526594374687,0.631771294861519,0.109343781588319,5.77784383971779,7.56639838575892e-09,0.000108195332925427,"IGHMBP2"
"ENSG00000187627",28.8637601177894,1.99100309783173,0.347373711550219,5.73158829131459,9.94945357721522e-09,0.000108195332925427,"RGPD1"
"ENSG00000201098",50.1163877147935,-3.81941980509096,0.684216882374215,-5.58217708957673,2.37526337908305e-08,0.000172198677438924,"RNY1"
"ENSG00000185304",97.7433109903322,1.48844374346818,0.297767522941286,4.99867725252786,5.77249286561215e-07,0.00179351353334569,"RGPD2"
"ENSG00000188056",185.218996263081,2.30253812686826,0.456017272399218,5.04923446156774,4.43584046748144e-07,0.00179351353334569,"TREML4"
"ENSG00000204528",12.1755190958318,-2.42379498352356,0.47967600774979,-5.05298356466449,4.34961339787986e-07,0.00179351353334569,NA
"ENSG00000289439",43.3407566480266,-1.30598592336718,0.260476971970905,-5.01382488242782,5.33585527632542e-07,0.00179351353334569,NA
"ENSG00000188511",227.757110587679,0.587201611890979,0.119798834035918,4.90156366392452,9.50768272427196e-07,0.00258478239462738,"MIR3667HG"
"ENSG00000133063",362.630958715366,-2.13772487216467,0.451748550237217,-4.73211230239063,2.22195417268216e-06,0.00492553159794641,"CHIT1"
"ENSG00000165617",75.824311330209,1.42460979987815,0.30253881972699,4.70884959875136,2.49118798921378e-06,0.00492553159794641,"DACT1"
"ENSG00000276345",30.9896940746728,-2.17234517923468,0.46025545617859,-4.71986839063513,2.35997283409202e-06,0.00492553159794641,NA
"ENSG00000197822",9.55050290634175,-2.18207782366357,0.484082096715971,-4.50766066017905,6.55462955410148e-06,0.0118797198476794,"OCLN"
"ENSG00000167914",14.5975623103082,1.66700220828192,0.376830839750914,4.42374145752989,9.70061012856608e-06,0.016229120745091,"GSDMA"
"ENSG00000118113",773.547650835236,-2.39486855829754,0.56003901696394,-4.27625305693967,1.90065167063726e-05,0.0295266237033499,"MMP8"
"ENSG00000102837",760.4149023478,-2.71866483928857,0.64363557523066,-4.22391947231052,2.40089866879478e-05,0.0299801881714116,"OLFM4"
"ENSG00000104918",470.993103971502,-1.67190123533823,0.396547440222971,-4.21614431402748,2.48514758262751e-05,0.0299801881714116,"RETN"
"ENSG00000149516",317.536648635383,-1.99625817498725,0.475330993923567,-4.19972229984281,2.67242541284248e-05,0.0299801881714116,"MS4A3"
"ENSG00000156453",38.0393912066107,-1.17243581014679,0.279639542788625,-4.19266817008429,2.75692566751682e-05,0.0299801881714116,"PCDH1"
"ENSG00000171517",8.04823169170723,1.38338340191482,0.327018368064789,4.23029265940421,2.33387475437788e-05,0.0299801881714116,"LPAR3"
"ENSG00000254006",21.1008126485235,-2.62580813555549,0.625846798824773,-4.19560847876234,2.72139996266046e-05,0.0299801881714116,"LOC105375878"
"ENSG00000164047",2010.03153592207,-1.76803111279901,0.424452472792292,-4.16543953947985,3.10753272796741e-05,0.0307207860457106,"CAMP"
"ENSG00000182272",31.8065499733511,-1.40876897281537,0.337825171008737,-4.17011251295701,3.04449293933677e-05,0.0307207860457106,"B4GALNT4"
"ENSG00000167034",130.761218971475,1.85162760403926,0.446668028221369,4.14542229810456,3.39188009011225e-05,0.0320739130781963,"NKX3-1"
"ENSG00000232629",356.066163276532,-0.997454486170055,0.242916614282123,-4.10616000522555,4.02290870046575e-05,0.0364559338860124,"HLA-DQB2"
"ENSG00000215030",1972.14104152178,1.19362959099021,0.293226245643784,4.07067787663267,4.6876531855812e-05,0.0372305443970775,"RPL13P12"
"ENSG00000230076",87.585496398697,2.64677556183014,0.65064518666866,4.06792460170463,4.74337233175565e-05,0.0372305443970775,"RPL10P6"
"ENSG00000272398",630.686532339028,-1.21326664415797,0.297554982969899,-4.07745362570757,4.55316074372809e-05,0.0372305443970775,"CD24"
"ENSG00000278745",22.0163669060028,2.0314106530072,0.499671506351314,4.06549228280177,4.79311804275218e-05,0.0372305443970775,NA
"ENSG00000114948",51.7355001308514,-1.0106729913716,0.252120722384074,-4.00868671886466,6.1057352059086e-05,0.0396159859537211,"ADAM23"
"ENSG00000143552",21.1390725283061,2.35253630325752,0.584452830200045,4.02519447540754,5.69282487793951e-05,0.0396159859537211,"NUP210L"
"ENSG00000197149",7.27314057812147,-2.25412725962382,0.559421833497639,-4.02938735074117,5.59224060157881e-05,0.0396159859537211,"RPS2P40"
"ENSG00000266852",3.53193680812643,-2.03827355438574,0.508890449756591,-4.00532876056265,6.19312852281262e-05,0.0396159859537211,"MIR4482"
"ENSG00000272512",7.7949500114254,-1.95843153090025,0.486680361541821,-4.02406114086023,5.72030559724985e-05,0.0396159859537211,NA
"ENSG00000274256",24.6618258841356,2.92466709430835,0.728082276934557,4.01694586856594,5.89572599859536e-05,0.0396159859537211,NA
"ENSG00000072163",230.330922555205,0.55105875459332,0.138347767130024,3.98314165833566,6.80101885604261e-05,0.0399780213881836,"LIMS2"
"ENSG00000109272",100.65915441007,-1.34081527554047,0.337052584392769,-3.9780596192611,6.94799524263988e-05,0.0399780213881836,"PF4V1"
"ENSG00000138640",494.604847892971,0.427092144360033,0.107396025028034,3.97679657369577,6.98498695457711e-05,0.0399780213881836,"FAM13A"
"ENSG00000242550",44.1755897613687,-1.57963033227489,0.396585129529121,-3.98308008711884,6.80278180372116e-05,0.0399780213881836,"SERPINB10"
"ENSG00000185915",13.4061547645855,1.09297968233152,0.275540439089046,3.96667612908282,7.28819219543916e-05,0.0406438184765657,"KLHL34"
"ENSG00000173391",60.6378784712406,-1.95988366234818,0.496782386415305,-3.94515529523975,7.97482778125769e-05,0.0424919408701989,"OLR1"
"ENSG00000233306",49.7338746235349,-1.41561148753434,0.358919633712602,-3.94409041626256,8.0103433522376e-05,0.0424919408701989,"TRGV2"
"ENSG00000167123",68.7613058916389,-0.898560310262676,0.228833353898227,-3.92670165845801,8.61186921603787e-05,0.0445951294237161,"CERCAM"
"ENSG00000279537",9.9845166204566,-1.62414159258689,0.414414970697084,-3.91911901699626,8.88732233358623e-05,0.0449512496356202,NA
